Category: All categories

Week,bali: (Australia)
2019-01-06,88
2019-01-13,86
2019-01-20,77
2019-01-27,76
2019-02-03,78
2019-02-10,76
2019-02-17,75
2019-02-24,74
2019-03-03,67
2019-03-10,70
2019-03-17,74
2019-03-24,73
2019-03-31,71
2019-04-07,69
2019-04-14,76
2019-04-21,90
2019-04-28,78
2019-05-05,77
2019-05-12,75
2019-05-19,91
2019-05-26,76
2019-06-02,74
2019-06-09,76
2019-06-16,78
2019-06-23,79
2019-06-30,81
2019-07-07,84
2019-07-14,100
2019-07-21,94
2019-07-28,95
2019-08-04,81
2019-08-11,86
2019-08-18,79
2019-08-25,84
2019-09-01,79
2019-09-08,82
2019-09-15,86
2019-09-22,81
2019-09-29,79
2019-10-06,77
2019-10-13,84
2019-10-20,77
2019-10-27,74
2019-11-03,75
2019-11-10,71
2019-11-17,71
2019-11-24,69
2019-12-01,72
2019-12-08,68
2019-12-15,60
2019-12-22,68
2019-12-29,82
