Category: All categories

Week,bali: (Japan)
2019-01-06,78
2019-01-13,64
2019-01-20,65
2019-01-27,82
2019-02-03,59
2019-02-10,47
2019-02-17,62
2019-02-24,60
2019-03-03,76
2019-03-10,51
2019-03-17,73
2019-03-24,71
2019-03-31,62
2019-04-07,72
2019-04-14,66
2019-04-21,100
2019-04-28,59
2019-05-05,57
2019-05-12,62
2019-05-19,81
2019-05-26,87
2019-06-02,67
2019-06-09,81
2019-06-16,61
2019-06-23,72
2019-06-30,72
2019-07-07,76
2019-07-14,79
2019-07-21,67
2019-07-28,57
2019-08-04,85
2019-08-11,74
2019-08-18,71
2019-08-25,66
2019-09-01,87
2019-09-08,75
2019-09-15,77
2019-09-22,72
2019-09-29,78
2019-10-06,55
2019-10-13,67
2019-10-20,75
2019-10-27,66
2019-11-03,64
2019-11-10,78
2019-11-17,71
2019-11-24,57
2019-12-01,66
2019-12-08,54
2019-12-15,62
2019-12-22,58
2019-12-29,51
