Category: All categories

Week,bali: (Malaysia)
2019-01-06,71
2019-01-13,66
2019-01-20,79
2019-01-27,60
2019-02-03,72
2019-02-10,73
2019-02-17,73
2019-02-24,71
2019-03-03,71
2019-03-10,86
2019-03-17,100
2019-03-24,72
2019-03-31,68
2019-04-07,72
2019-04-14,66
2019-04-21,75
2019-04-28,76
2019-05-05,70
2019-05-12,71
2019-05-19,78
2019-05-26,66
2019-06-02,86
2019-06-09,66
2019-06-16,74
2019-06-23,67
2019-06-30,68
2019-07-07,83
2019-07-14,75
2019-07-21,76
2019-07-28,78
2019-08-04,78
2019-08-11,73
2019-08-18,72
2019-08-25,76
2019-09-01,74
2019-09-08,74
2019-09-15,86
2019-09-22,75
2019-09-29,70
2019-10-06,64
2019-10-13,62
2019-10-20,79
2019-10-27,73
2019-11-03,74
2019-11-10,64
2019-11-17,71
2019-11-24,70
2019-12-01,91
2019-12-08,66
2019-12-15,79
2019-12-22,83
2019-12-29,78
