Category: All categories

Week,bali: (South Korea)
2019-01-06,54
2019-01-13,76
2019-01-20,42
2019-01-27,31
2019-02-03,58
2019-02-10,76
2019-02-17,56
2019-02-24,53
2019-03-03,77
2019-03-10,48
2019-03-17,76
2019-03-24,41
2019-03-31,56
2019-04-07,41
2019-04-14,51
2019-04-21,55
2019-04-28,34
2019-05-05,60
2019-05-12,80
2019-05-19,51
2019-05-26,64
2019-06-02,85
2019-06-09,88
2019-06-16,53
2019-06-23,55
2019-06-30,48
2019-07-07,76
2019-07-14,82
2019-07-21,62
2019-07-28,51
2019-08-04,61
2019-08-11,82
2019-08-18,72
2019-08-25,62
2019-09-01,52
2019-09-08,56
2019-09-15,87
2019-09-22,79
2019-09-29,76
2019-10-06,42
2019-10-13,27
2019-10-20,69
2019-10-27,87
2019-11-03,76
2019-11-10,60
2019-11-17,75
2019-11-24,56
2019-12-01,100
2019-12-08,61
2019-12-15,72
2019-12-22,57
2019-12-29,68
